Date,Open,High,Low,Close
9/25/2013,0.000000,0.062858,-1.110001,-1.095711
9/26/2013,0.000000,0.365715,-0.300003,0.031425
9/27/2013,0.000000,0.127144,-0.437141,-0.147140
9/30/2013,0.000000,0.629997,-0.405716,-0.071434
10/1/2013,0.000000,1.527146,-0.010002,1.358574
10/2/2013,0.000000,0.881424,-0.268577,0.561424
10/3/2013,0.000000,0.262855,-1.395722,-1.014290
10/4/2013,0.000000,0.105713,-0.751427,-0.118568
10/7/2013,0.000000,0.870003,-0.172852,0.170006
10/8/2013,0.000000,0.099999,-1.342857,-1.285721
10/9/2013,0.000000,0.450005,-0.908569,0.278573
10/10/2013,0.000000,0.151428,-0.611427,-0.239998
10/11/2013,0.000000,0.978569,-0.261429,0.831428
10/14/2013,0.000000,1.107139,-0.068573,0.887138
10/15/2013,0.000000,0.641426,-0.284287,0.167137
10/16/2013,0.000000,0.248573,-0.222855,0.045715
10/17/2013,0.000000,0.685714,-0.042855,0.645713
10/18/2013,0.000000,0.467141,-0.040000,0.414284
10/21/2013,0.000000,1.790001,-0.035714,1.370002
10/22/2013,0.000000,0.291428,-2.625717,-0.934288
10/23/2013,0.000000,0.952851,0.000000,0.851426
10/24/2013,0.000000,1.067146,-0.364288,0.987144
10/25/2013,0.000000,0.272858,-0.887138,-0.765709
10/28/2013,0.000000,0.279999,-0.832855,0.120003
10/29/2013,0.000000,0.425712,-3.104287,-2.798569
10/30/2013,0.000000,1.129998,-0.370002,0.755715
10/31/2013,0.000000,0.355713,-0.532860,-0.328575
11/1/2013,0.000000,0.111427,-1.168572,-0.570000
11/4/2013,0.000000,0.817146,-0.327141,0.807144
11/5/2013,0.000000,0.615715,-0.225715,0.124283
11/6/2013,0.000000,0.101432,-0.849999,-0.461426
11/7/2013,0.000000,0.515716,-1.028572,-1.012856
11/8/2013,0.000000,0.935715,-0.284287,0.854286
11/11/2013,0.000000,0.239998,-0.797142,-0.134284
11/12/2013,0.000000,0.892853,-0.095718,0.334282
11/13/2013,0.000000,0.607140,-0.148575,0.375717
11/14/2013,0.000000,0.924286,-0.134285,0.764290
11/15/2013,0.000000,0.358566,-0.298577,-0.227143
11/18/2013,0.000000,0.314286,-0.970001,-0.908577
11/19/2013,0.000000,0.621429,-0.151429,0.074287
11/20/2013,0.000000,0.169998,-0.699997,-0.604287
11/21/2013,0.000000,0.515716,-0.561424,0.505714
11/22/2013,0.000000,0.377144,-0.141426,0.040001
11/25/2013,0.000000,0.692856,-0.002853,0.388573
11/26/2013,0.000000,1.717148,-0.017143,1.325714
11/27/2013,0.000000,1.384285,-0.415718,1.378571
11/29/2013,0.000000,1.264282,-0.238579,0.941421
12/2/2013,0.000000,0.904281,-1.025719,-0.967140
12/3/2013,0.000000,1.154289,-0.088570,1.145714
12/4/2013,0.000000,0.527146,-0.668571,-0.071426
12/5/2013,0.000000,0.355713,-0.891426,-0.678573
12/6/2013,0.000000,0.137146,-0.888573,-0.824288
12/9/2013,0.000000,1.239997,0.000000,0.790000
12/10/2013,0.000000,0.614288,-0.340004,0.281425
12/11/2013,0.000000,0.567146,-1.044289,-0.805717
12/12/2013,0.000000,0.457139,-0.301429,-0.228576
12/13/2013,0.000000,0.004287,-1.311432,-1.202858
12/16/2013,0.000000,1.088570,-0.001434,0.354286
12/17/2013,0.000000,0.518570,-0.347145,-0.117142
12/18/2013,0.000000,0.250000,-1.557144,0.152855
12/19/2013,0.000000,0.071426,-0.824287,-0.720001
12/20/2013,0.000000,0.882859,-0.087142,0.512856
12/23/2013,0.000000,0.388565,-0.748573,0.298569
12/24/2013,0.000000,0.284287,-0.551430,-0.317146
12/26/2013,0.000000,0.199997,-0.674286,-0.599999
12/27/2013,0.000000,0.084282,-0.617141,-0.532859
12/30/2013,0.000000,0.375710,-0.734291,-0.420006
12/31/2013,0.000000,1.015709,-0.024285,0.978569
1/2/2014,0.000000,0.192856,-0.522857,-0.364288
1/3/2014,0.000000,0.119995,-1.775718,-1.697143
1/6/2014,0.000000,1.335716,-0.550003,0.925713
1/7/2014,0.000000,0.234284,-0.914291,-0.611427
1/8/2014,0.000000,0.964286,-0.017144,0.664291
1/9/2014,0.000000,0.008568,-1.635719,-1.468574
1/10/2014,0.000000,0.138573,-1.245712,-0.984283
1/13/2014,0.000000,1.798569,-0.004287,0.831429
1/14/2014,0.000000,1.215713,-0.080002,1.167144
1/15/2014,0.000000,0.954285,-0.265716,0.548569
1/16/2014,0.000000,0.278572,-0.459999,-0.092857
1/17/2014,0.000000,0.084282,-1.654289,-1.544289
1/21/2014,0.000000,1.297143,-0.081428,1.154282
1/22/2014,0.000000,0.911423,-0.442863,0.085709
1/23/2014,0.000000,0.937141,-0.732857,0.891426
1/24/2014,0.000000,0.231423,-1.321434,-1.132858
1/27/2014,0.000000,0.675712,-0.617142,0.061431
1/28/2014,0.000000,0.891426,-0.955711,-0.322860
1/29/2014,0.000000,0.488571,-0.761429,-0.457146
1/30/2014,0.000000,0.565712,-0.834282,-0.394287
1/31/2014,0.000000,0.907143,-0.232857,0.774284
2/3/2014,0.000000,0.731430,-0.472855,-0.154289
2/4/2014,0.000000,0.515717,-0.441421,0.420006
2/5/2014,0.000000,1.245712,-0.044289,0.861427
2/6/2014,0.000000,0.491425,-0.321426,0.349999
2/7/2014,0.000000,0.221428,-0.571427,-0.242859
2/10/2014,0.000000,1.904289,-0.094284,1.475716
2/11/2014,0.000000,1.019996,-0.158570,0.764282
2/12/2014,0.000000,0.372856,-0.530007,-0.147148
2/13/2014,0.000000,1.455719,-0.065712,1.395714
2/14/2014,0.000000,0.501435,-0.180000,0.217148
2/18/2014,0.000000,0.741432,-0.055717,-0.001427
2/19/2014,0.000000,0.305718,-1.485710,-1.054283
2/20/2014,0.000000,0.572861,-0.570000,-0.262855
2/21/2014,0.000000,0.254288,-1.169998,-1.077141
2/24/2014,0.000000,0.967140,-0.104286,0.628570
2/25/2014,0.000000,0.027138,-1.197143,-1.045715
2/26/2014,0.000000,0.198570,-1.144287,-0.894287
2/27/2014,0.000000,1.662857,-0.155716,1.504288
2/28/2014,0.000000,0.524285,-0.994285,-0.405716
3/3/2014,0.000000,1.032860,-0.087143,0.620003
3/4/2014,0.000000,0.234291,-0.461426,0.034286
3/5/2014,0.000000,0.547149,-0.255715,0.205719
3/6/2014,0.000000,0.235718,-0.669998,-0.291428
3/7/2014,0.000000,0.127144,-0.720001,-0.092858
3/10/2014,0.000000,0.709999,-0.002861,0.365708
3/11/2014,0.000000,0.470001,-0.408577,0.091423
3/12/2014,0.000000,0.405708,-0.358574,0.299995
3/13/2014,0.000000,0.317139,-1.182861,-0.970001
3/14/2014,0.000000,0.300003,-0.827141,-0.585717
3/17/2014,0.000000,0.324287,-0.264283,-0.137139
3/18/2014,0.000000,0.867141,-0.099999,0.785713
3/19/2014,0.000000,0.568573,-0.465714,-0.142853
3/20/2014,0.000000,0.397141,-0.362854,-0.169998
3/21/2014,0.000000,0.260002,-0.799996,0.134285
3/24/2014,0.000000,0.297142,-0.480004,0.110000
3/25/2014,0.000000,0.607147,-0.272858,0.498573
3/26/2014,0.000000,0.354287,-1.094284,-0.962860
3/27/2014,0.000000,0.211426,-0.699997,-0.365715
3/28/2014,0.000000,0.088577,-0.581429,-0.208572
3/31/2014,0.000000,0.225708,-0.471428,-0.355721
4/1/2014,0.000000,0.587143,-0.141434,0.555710
4/2/2014,0.000000,0.157142,-0.302857,0.024284
4/3/2014,0.000000,0.158569,-0.535714,-0.371430
4/4/2014,0.000000,0.027145,-1.318573,-1.141426
4/7/2014,0.000000,0.411430,-0.875710,-0.650002
4/8/2014,0.000000,0.132859,-0.927147,-0.250000
4/9/2014,0.000000,1.121429,-0.088570,1.097145
4/10/2014,0.000000,0.222854,-1.072861,-1.028572
4/11/2014,0.000000,0.547142,-0.265716,0.087143
4/14/2014,0.000000,0.037140,-0.669998,-0.031433
4/15/2014,0.000000,0.195710,-1.277145,-0.330001
4/16/2014,0.000000,0.434288,-0.558571,0.137146
4/17/2014,0.000000,1.108574,-0.114288,0.705719
4/21/2014,0.000000,0.971428,-0.197144,0.832863
4/22/2014,0.000000,0.502861,-0.258568,0.484291
4/23/2014,0.000000,0.295715,-0.658577,-0.615715
4/24/2014,0.000000,0.255715,-1.068573,-0.062858
4/25/2014,0.000000,1.065719,-0.081429,1.058570
