Date,Open,High,Low,Close,Open_diff
3/21/2013,1.000000,1.017236,0.999733,1.005575,0.995886
3/22/2013,1.000000,1.016543,0.996766,1.016125,1.004086
3/25/2013,1.000000,1.011319,0.993738,0.997611,1.006018
3/26/2013,1.000000,1.000859,0.989451,0.990761,1.004012
3/27/2013,1.000000,1.000745,0.987447,0.990404,0.989851
3/28/2013,1.000000,1.004446,0.981770,0.984083,0.995001
4/1/2013,1.000000,1.004073,0.967957,0.970604,0.998283
4/2/2013,1.000000,1.024649,0.997194,1.005122,0.996946
4/3/2013,1.000000,1.013701,0.997543,1.001437,1.003676
4/4/2013,1.000000,1.002859,0.980381,0.986075,1.004097
4/5/2013,1.000000,1.001060,0.988645,0.996938,0.992472
4/8/2013,1.000000,1.006238,0.994445,1.003201,1.003899
4/9/2013,1.000000,1.005019,0.991533,1.001454,1.000352
4/10/2013,1.000000,1.020930,0.995118,1.017729,1.002623
4/11/2013,1.000000,1.009845,0.994190,1.001406,0.995478
4/12/2013,1.000000,1.000000,0.988345,0.989980,0.999586
4/15/2013,1.000000,1.002084,0.982553,0.983255,0.993485
4/16/2013,1.000000,1.011955,0.997628,1.011078,1.004097
4/17/2013,1.000000,1.000785,0.947272,0.958432,0.985994
4/18/2013,1.000000,1.001975,0.962345,0.968049,1.005437
4/19/2013,1.000000,1.029976,0.992603,1.006598,0.989593
4/22/2013,1.000000,1.024348,0.996511,1.015358,1.005403
4/23/2013,1.000000,1.010867,0.987178,1.005297,1.013344
4/24/2013,1.000000,1.055166,0.997357,1.030289,0.969000
4/25/2013,1.000000,1.006590,0.989714,0.993070,1.014231
4/26/2013,1.000000,1.021864,0.996193,1.018033,1.003502
4/29/2013,1.000000,1.031324,0.998930,1.022999,1.007790
4/30/2013,1.000000,1.023328,0.993036,1.017651,1.011578
5/1/2013,1.000000,1.001057,0.977343,0.988368,1.003794
5/2/2013,1.000000,1.015415,0.997397,1.008466,1.005668
5/3/2013,1.000000,1.004254,0.995214,0.997053,1.012996
5/6/2013,1.000000,1.014242,0.996928,1.010972,1.012734
5/7/2013,1.000000,1.001678,0.975762,0.986429,1.009247
5/8/2013,1.000000,1.013790,0.992964,1.010457,1.000828
5/9/2013,1.000000,1.006938,0.990801,0.993389,0.991312
5/10/2013,1.000000,1.003799,0.983645,0.989082,1.002627
5/13/2013,1.000000,1.014153,0.999978,1.007154,0.996777
5/14/2013,1.000000,1.002975,0.974221,0.977988,0.998043
5/15/2013,1.000000,1.004190,0.961745,0.976523,0.989411
5/16/2013,1.000000,1.034519,0.989746,1.026793,0.986918
5/17/2013,1.000000,1.002369,0.981688,0.986812,1.010286
5/20/2013,1.000000,1.032160,0.995809,1.025515,0.996884
5/21/2013,1.000000,1.016729,0.990985,1.003446,0.989208
5/22/2013,1.000000,1.009684,0.986871,0.993920,1.009985
5/23/2013,1.000000,1.023420,0.999633,1.014199,0.987765
5/24/2013,1.000000,1.010911,0.998889,1.009754,0.997082
5/28/2013,1.000000,1.002689,0.979884,0.981196,1.010671
5/29/2013,1.000000,1.017045,0.998636,1.011250,0.996738
5/30/2013,1.000000,1.019859,0.997442,1.013306,1.001573
5/31/2013,1.000000,1.010166,0.993370,0.993878,1.002037
6/3/2013,1.000000,1.003616,0.981696,0.999978,1.002223
6/4/2013,1.000000,1.002670,0.987137,0.991373,1.005547
6/5/2013,1.000000,1.011377,0.995647,0.998788,0.991854
6/6/2013,1.000000,1.003435,0.974364,0.984264,1.000809
6/7/2013,1.000000,1.015441,0.991455,1.012165,0.995530
6/10/2013,1.000000,1.009781,0.982169,0.986868,1.006609
6/11/2013,1.000000,1.016110,0.994446,1.004269,0.992823
6/12/2013,1.000000,1.003982,0.981798,0.983367,1.004342
6/13/2013,1.000000,1.010728,0.991330,1.008000,1.000717
6/14/2013,1.000000,1.002044,0.984153,0.987712,0.998716
6/17/2013,1.000000,1.009874,0.997497,1.001298,1.003232
6/18/2013,1.000000,1.007739,0.996872,1.000487,0.998981
6/19/2013,1.000000,1.000603,0.980528,0.980528,0.999143
6/20/2013,1.000000,1.015931,0.990150,0.994133,0.991253
6/21/2013,1.000000,1.003608,0.975173,0.988076,1.003958
6/24/2013,1.000000,1.003093,0.977050,0.988071,0.985248
6/25/2013,1.000000,1.005152,0.983066,0.992433,1.007850
6/26/2013,1.000000,1.002204,0.979599,0.985566,1.003154
6/27/2013,1.000000,1.005360,0.985698,0.986299,1.002964
6/28/2013,1.000000,1.022767,0.993638,1.013210,0.993854
7/1/2013,1.000000,1.023790,0.996350,1.016216,1.015535
7/2/2013,1.000000,1.028466,0.998805,1.020807,1.001808
7/3/2013,1.000000,1.005037,0.991898,0.999857,1.005663
7/5/2013,1.000000,1.006898,0.988011,0.992935,0.999026
7/8/2013,1.000000,1.002119,0.977482,0.987956,1.006444
7/9/2013,1.000000,1.023936,0.992215,1.021156,0.996506
7/10/2013,1.000000,1.012393,0.996783,1.002693,0.993489
7/11/2013,1.000000,1.012531,0.995791,1.010261,1.005277
7/12/2013,1.000000,1.005004,0.990085,0.997334,1.000843
7/15/2013,1.000000,1.015176,0.999506,1.005718,0.996483
7/16/2013,1.000000,1.009824,0.994490,1.008628,0.997848
7/17/2013,1.000000,1.005865,0.996556,1.001420,0.998838
7/18/2013,1.000000,1.003438,0.993608,0.996262,1.007134
7/19/2013,1.000000,1.002032,0.979797,0.981182,1.003104
7/22/2013,1.000000,1.000675,0.990709,0.992665,1.010613
7/23/2013,1.000000,1.002254,0.982887,0.983545,0.999273
7/24/2013,1.000000,1.012895,0.991639,1.003600,1.047591
7/25/2013,1.000000,1.001588,0.988904,0.995008,1.000431
7/26/2013,1.000000,1.013186,0.997795,1.013071,0.992702
7/29/2013,1.000000,1.020848,0.998639,1.015858,0.999569
7/30/2013,1.000000,1.015979,0.998378,1.007467,1.004846
7/31/2013,1.000000,1.005165,0.987780,0.994593,1.003684
8/1/2013,1.000000,1.002304,0.994536,1.002041,1.007116
8/2/2013,1.000000,1.010567,0.997052,1.009891,1.002912
8/5/2013,1.000000,1.012869,0.994534,1.010243,1.004648
8/6/2013,1.000000,1.008269,0.987500,0.994081,0.996954
8/7/2013,1.000000,1.006900,0.995623,1.002544,0.996883
8/8/2013,1.000000,1.000517,0.987259,0.993856,0.997591
8/9/2013,1.000000,1.003968,0.989120,0.990864,0.994859
8/12/2013,1.000000,1.025807,0.999497,1.022983,1.005303
8/13/2013,1.000000,1.050367,0.993863,1.039559,1.007660
8/14/2013,1.000000,1.012794,0.991002,1.001245,1.016974
8/15/2013,1.000000,1.012046,0.985214,1.003001,0.995827
8/16/2013,1.000000,1.005578,0.997421,1.004359,1.004499
8/19/2013,1.000000,1.018638,0.999326,1.006742,1.004001
8/20/2013,1.000000,1.001687,0.982559,0.983049,1.003880
8/21/2013,1.000000,1.007069,0.995254,0.997558,1.005029
8/22/2013,1.000000,1.001208,0.986574,0.996000,1.005215
8/23/2013,1.000000,1.000159,0.992211,0.995529,1.000616
8/26/2013,1.000000,1.018872,0.999501,1.004433,0.999461
8/27/2013,1.000000,1.009056,0.976506,0.981104,0.990119
8/28/2013,1.000000,1.020165,1.000000,1.010082,0.994699
8/29/2013,1.000000,1.009865,0.998942,1.000102,1.001528
8/30/2013,1.000000,1.001931,0.988821,0.990285,1.000610
9/3/2013,1.000000,1.015210,0.988339,0.990834,1.012068
9/4/2013,1.000000,1.005365,0.993434,0.998259,1.022473
9/5/2013,1.000000,1.000860,0.986787,0.990045,1.003128
9/6/2013,1.000000,1.001886,0.982967,0.999559,1.006401
9/9/2013,1.000000,1.005782,0.996990,1.002317,1.013608
9/10/2013,1.000000,1.002469,0.967009,0.977163,1.000059
9/11/2013,1.000000,1.014304,0.995289,1.001499,0.944141
9/12/2013,1.000000,1.014728,0.994685,1.008943,1.001689
9/13/2013,1.000000,1.005305,0.990114,0.990540,0.992913
9/16/2013,1.000000,1.001323,0.970109,0.976399,0.991611
9/17/2013,1.000000,1.026230,0.998973,1.016430,0.995201
9/18/2013,1.000000,1.006844,0.994559,1.003239,1.017263
9/19/2013,1.000000,1.010899,0.996919,1.003399,1.012955
9/20/2013,1.000000,1.001151,0.974895,0.977845,1.012069
9/23/2013,1.000000,1.001633,0.972788,0.988994,1.061381
9/24/2013,1.000000,1.001192,0.985734,0.988320,1.008642
9/25/2013,1.000000,1.000899,0.984117,0.984321,1.000204
9/26/2013,1.000000,1.005267,0.995679,1.000453,1.009283
9/27/2013,1.000000,1.001840,0.993675,0.997871,0.994982
9/30/2013,1.000000,1.009240,0.994049,0.998952,0.988607
10/1/2013,1.000000,1.022343,0.999854,1.019877,1.003566
10/2/2013,1.000000,1.012705,0.996129,1.008093,0.995225
10/3/2013,1.000000,1.003751,0.980082,0.985525,1.001941
10/4/2013,1.000000,1.001529,0.989129,0.998285,1.000931
10/7/2013,1.000000,1.012516,0.997513,1.002446,1.007308
10/8/2013,1.000000,1.001429,0.980814,0.981630,1.004490
10/9/2013,1.000000,1.006500,0.986877,1.004024,1.007693
10/10/2013,1.000000,1.002157,0.991289,0.996581,1.009721
10/11/2013,1.000000,1.014066,0.996242,1.011951,0.994588
10/14/2013,1.000000,1.015822,0.999020,1.012678,0.993953
10/15/2013,1.000000,1.009025,0.996000,1.002352,1.002964
10/16/2013,1.000000,1.003475,0.996885,1.000639,1.004231
10/17/2013,1.000000,1.009600,0.999400,1.009040,0.997745
10/18/2013,1.000000,1.006463,0.999447,1.005731,1.002953
10/21/2013,1.000000,1.024484,0.999512,1.018739,1.005659
10/22/2013,1.000000,1.003875,0.965084,0.987576,1.009686
10/23/2013,1.000000,1.012852,1.000000,1.011484,0.998327
10/24/2013,1.000000,1.014229,0.995143,1.013162,1.000076
10/25/2013,1.000000,1.003595,0.988312,0.989912,0.998891
10/28/2013,1.000000,1.003705,0.988980,1.001588,1.005856
10/29/2013,1.000000,1.005557,0.959479,0.963470,1.012059
10/30/2013,1.000000,1.015223,0.995015,1.010181,1.005671
10/31/2013,1.000000,1.004743,0.992895,0.995619,1.000190
11/1/2013,1.000000,1.001488,0.984390,0.992386,1.002525
11/4/2013,1.000000,1.010977,0.995605,1.010842,1.002058
11/5/2013,1.000000,1.008216,0.996988,1.001658,0.995880
11/6/2013,1.000000,1.001355,0.988648,0.993838,0.997526
11/7/2013,1.000000,1.006948,0.986143,0.986354,0.997428
11/8/2013,1.000000,1.012729,0.996133,1.011621,1.004078
11/11/2013,1.000000,1.003231,0.989269,0.998192,0.998905
11/12/2013,1.000000,1.012073,0.998706,1.004520,0.997341
11/13/2013,1.000000,1.008205,0.997992,1.005077,0.996135
11/14/2013,1.000000,1.012375,0.998202,1.010233,1.004187
11/15/2013,1.000000,1.004767,0.996031,0.996981,0.997008
11/18/2013,1.000000,1.004191,0.987066,0.987885,1.000000
11/19/2013,1.000000,1.008381,0.997958,1.001002,1.000771
11/20/2013,1.000000,1.002292,0.990563,0.991853,0.999384
11/21/2013,1.000000,1.006975,0.992407,1.006839,1.005049
11/22/2013,1.000000,1.005082,0.998094,1.000539,0.996891
11/25/2013,1.000000,1.009309,0.999962,1.005221,1.002347
11/26/2013,1.000000,1.022934,0.999771,1.017706,1.000726
11/27/2013,1.000000,1.018068,0.994574,1.017993,1.005456
11/29/2013,1.000000,1.016106,0.996961,1.011993,1.006447
12/2/2013,1.000000,1.011344,0.987133,0.987867,1.003471
12/3/2013,1.000000,1.014473,0.998890,1.014365,1.012826
12/4/2013,1.000000,1.006525,0.991724,0.999116,0.998552
12/5/2013,1.000000,1.004348,0.989103,0.991705,1.013540
12/6/2013,1.000000,1.001697,0.989007,0.989802,0.996285
12/9/2013,1.000000,1.015475,1.000000,1.009859,1.001571
12/10/2013,1.000000,1.007630,0.995777,1.003495,0.994968
12/11/2013,1.000000,1.007002,0.987108,0.990053,1.002564
12/12/2013,1.000000,1.005692,0.996246,0.997154,1.001390
12/13/2013,1.000000,1.000053,0.983690,0.985040,1.004121
12/16/2013,1.000000,1.013729,0.999982,1.004468,1.001064
12/17/2013,1.000000,1.006531,0.995628,0.998525,0.996969
12/18/2013,1.000000,1.003184,0.980171,1.001946,0.990468
12/19/2013,1.000000,1.000910,0.989500,0.990828,0.997694
12/20/2013,1.000000,1.011331,0.998882,1.006582,1.001782
12/23/2013,1.000000,1.004789,0.990775,1.003680,1.034571
12/24/2013,1.000000,1.003492,0.993227,0.996104,0.999649
